population,pop2024,pop2023,city,country,growthrate,type,rank
37115035,37115035,37194105,tokyo,japan,-0.0021,w,1
33807403,33807403,32941309,delhi,india,0.0263,w,2
29867918,29867918,29210808,shanghai,china,0.0225,w,3
23935652,23935652,23209616,dhaka division,bangladesh,0.0313,w,4
22806704,22806704,22619736,são paulo,brazil,0.0083,w,5
22623874,22623874,22183201,cairo,egypt,0.0199,w,6
22505315,22505315,22281442,mexico city,mexico,0.01,w,7
22189082,22189082,21766214,beijing,china,0.0194,w,8
21673149,21673149,21296517,mumbai,india,0.0177,w,9
18967459,18967459,19013434,osaka prefecture,japan,-0.0024,w,10
17773923,17773923,17340704,chongqing,china,0.025,w,11
17648555,17648555,17236230,karachi division,pakistan,0.0239,w,12
17032322,17032322,16315534,aketi,democratic republic of the congo,0.0439,w,13
16536018,16536018,15945912,laos,laos,0.037,w,14
16047350,16047350,15847768,marmara region,turkey,0.0126,w,15
15618288,15618288,15490415,comuna 1,argentina,0.0083,w,16
15570786,15570786,15332793,kolkata district,india,0.0155,w,17
14941953,14941953,14667089,capital district,philippines,0.0187,w,18
14590096,14590096,14284353,guangzhou city,china,0.0214,w,19
14470873,14470873,14238643,tianjin,china,0.0163,w,20
14407074,14407074,13979390,punjab,pakistan,0.0306,w,21
14008262,14008262,13607800,karnataka,india,0.0294,w,22
13824347,13824347,13727720,rio de janeiro,brazil,0.007,w,23
13311855,13311855,13072633,shenzhen,china,0.0183,w,24
12712305,12712305,12680389,moscow,russia,0.0025,w,25
12053697,12053697,11776147,tamil nadu,india,0.0236,w,26
11658211,11658211,11507960,capital district,colombia,0.0131,w,27
11436004,11436004,11248839,special region of jakarta,indonesia,0.0166,w,28
11361938,11361938,11204382,lima metropolitan area,peru,0.0141,w,29
11276701,11276701,11208440,ile-de-france,france,0.0061,w,30
11233869,11233869,11069982,bangkok,thailand,0.0148,w,31
11068877,11068877,10801163,hyderabad district,india,0.0248,w,32
10004840,10004840,9988049,seoul,south korea,0.0017,w,33
9947548,9947548,9698464,nanjing city,china,0.0257,w,34
9828110,9828110,9653772,sichuan,china,0.0181,w,35
9748033,9748033,9648110,greater london,united kingdom,0.0104,w,36
9651032,9651032,9292336,municipality of luanda,angola,0.0386,w,37
9616007,9616007,9499781,tehran county,iran,0.0122,w,38
9567656,9567656,9320866,ho chi minh city,vietnam,0.0265,w,39
